iter	Passed	Remaining
0	2	232
1	4	227
2	6	212
3	8	192
4	9	184
5	11	176
6	13	179
7	15	173
8	16	168
9	18	164
10	20	163
11	22	161
12	23	158
13	25	154
14	26	152
15	28	150
16	30	147
17	31	145
18	33	143
19	35	141
20	37	139
21	38	136
22	40	134
23	41	132
24	43	130
25	45	128
26	46	126
27	48	125
28	50	122
29	51	120
30	53	118
31	55	117
32	56	115
33	58	113
34	60	112
35	62	110
36	63	108
37	65	106
38	66	104
39	68	102
40	70	101
41	70	97
42	72	96
43	74	95
44	76	93
45	77	91
46	79	89
47	81	87
48	82	86
49	84	84
50	86	83
51	88	81
52	90	80
53	91	78
54	93	76
55	94	74
56	96	72
57	98	71
58	100	69
59	101	67
60	103	66
61	104	64
62	106	62
63	108	60
64	109	58
65	111	57
66	113	55
67	115	54
68	116	52
69	118	50
70	120	49
71	121	47
72	123	45
73	125	43
74	128	42
75	129	41
76	131	39
77	133	37
78	134	35
79	136	34
80	138	32
81	140	30
82	141	29
83	143	27
84	144	25
85	146	23
86	148	22
87	149	20
88	151	18
89	153	17
90	155	15
91	156	13
92	158	11
93	160	10
94	161	8
95	163	6
96	165	5
97	167	3
98	169	1
99	171	0
