iter	Passed	Remaining
0	158	158472
1	160	80032
2	161	53794
3	163	40666
4	164	32803
5	166	27539
6	167	23788
7	172	21335
8	173	19117
9	175	17362
10	176	15890
11	178	14666
12	179	13632
13	180	12743
14	182	11971
15	186	11470
16	188	10896
17	189	10356
18	191	9889
19	192	9451
20	194	9057
21	195	8697
22	196	8367
23	200	8167
24	202	7900
25	203	7637
26	205	7397
27	206	7171
28	207	6960
29	209	6765
30	210	6582
31	211	6410
32	215	6326
33	217	6175
34	218	6030
35	220	5894
36	221	5765
37	222	5642
38	224	5527
39	225	5415
40	227	5310
41	231	5269
42	232	5172
43	233	5079
44	235	4990
45	236	4905
46	237	4824
47	239	4746
48	240	4671
49	242	4599
50	246	4581
51	247	4515
52	249	4452
53	250	4388
54	251	4328
55	253	4268
56	254	4211
57	255	4157
58	260	4152
59	261	4100
60	263	4049
61	264	4000
62	265	3952
63	267	3907
64	268	3863
65	269	3820
66	271	3781
67	275	3778
68	277	3737
69	278	3698
70	279	3660
71	281	3623
72	282	3586
73	283	3551
74	285	3521
75	286	3488
76	290	3485
77	292	3453
78	293	3421
79	294	3391
80	296	3361
81	297	3331
82	298	3296
83	300	3273
84	302	3250
85	304	3232
86	305	3206
87	306	3180
88	308	3155
89	309	3130
90	311	3107
91	312	3083
92	315	3080
93	317	3061
94	318	3038
95	320	3017
96	321	2995
97	323	2973
98	324	2956
99	326	2936
100	327	2918
101	331	2921
102	339	2955
103	341	2938
104	343	2926
105	345	2914
106	347	2900
107	349	2887
108	351	2874
109	353	2858
110	357	2862
111	359	2853
112	361	2839
113	364	2836
114	367	2831
115	371	2834
116	373	2817
117	374	2800
118	376	2785
119	377	2771
120	379	2757
121	380	2740
122	382	2725
123	383	2710
124	387	2711
125	389	2699
126	390	2684
127	392	2670
128	393	2657
129	394	2642
130	396	2628
131	397	2614
132	401	2615
133	403	2605
134	405	2597
135	406	2584
136	408	2570
137	409	2558
138	410	2545
139	412	2532
140	413	2519
141	414	2505
142	416	2498
143	418	2486
144	419	2474
145	421	2462
146	422	2451
147	423	2439
148	425	2428
149	430	2437
150	431	2426
151	432	2415
152	434	2404
153	435	2393
154	436	2382
155	438	2371
156	439	2361
157	443	2364
158	445	2355
159	446	2345
160	447	2333
161	449	2322
162	450	2312
163	451	2302
164	453	2293
165	454	2283
166	458	2286
167	459	2277
168	461	2268
169	462	2258
170	463	2249
171	465	2239
172	466	2230
173	468	2222
174	469	2213
175	473	2216
176	474	2208
177	476	2199
178	477	2190
179	479	2182
180	480	2173
181	481	2165
182	483	2156
183	484	2147
184	488	2152
185	490	2144
